schedule_regime,fit_min_train_steps,fit_min_d_over_n,observed_points_total,observed_points_used,status,points_used,E,A,alpha,B,beta,rmse
fixed,300,10.0,152,129,ok,129,0.753025515874227,20.099982989487433,0.27344810098541134,122.51646782710267,0.33337082244611754,0.07317746483422123
matched,300,10.0,152,129,ok,129,0.8719208161036174,32.94723288889612,0.36778450545085706,58.212182624576386,0.2644676295428265,0.06434207165063598
