budget_id,budget_flops,schedule_regime,model_name,n_layer,n_head,n_embd,num_params,target_train_tokens,actual_train_tokens,actual_compute_proxy,fixed_schedule_horizon_steps,runs,mean_train_steps,mean_final_val_loss,std_final_val_loss,mean_best_val_loss,mean_final_test_loss,mean_runtime_sec,mean_tokens_per_second,actual_d_over_n,token_parameter_ratio
0,1200000000000.0,fixed,gpt_2l_16d,2,4,16,12736,15703517.587939698,15704064,1200041754624.0,994,3,7668.0,2.566509679953257,0.00413341468161025,2.5663344621658326,2.5605284293492634,24.371567567189533,646036.377452229,1233.0452261306532,1233.0452261306532
0,1200000000000.0,fixed,gpt_2l_20d,2,4,20,17840,11210762.331838565,11212800,1200218112000.0,994,3,5475.0,2.5538813591003415,0.007132899696251103,2.553551443417867,2.5469535152117415,15.969141880671183,702922.9405782827,628.5201793721973,628.5201793721973
0,1200000000000.0,fixed,gpt_2l_24d,2,4,24,23712,8434547.908232119,8435712,1200165617664.0,864,3,4119.0,2.5577290614446,0.004447087235682781,2.55705083211263,2.552355698744456,19.759088675181072,427143.2481639334,355.7570850202429,355.7570850202429
0,1200000000000.0,fixed,gpt_2l_28d,2,4,28,30352,6589351.607801792,6590464,1200202579968.0,864,3,3218.0,2.543841071923574,0.0018427842435451277,2.543841071923574,2.5368704994519553,14.348214864730835,460007.24167961674,217.13442277279916,217.13442277279916
0,1200000000000.0,fixed,gpt_2l_32d,2,4,32,37760,5296610.169491526,5298176,1200354754560.0,864,3,2587.0,2.5372245987256368,0.0024345729837033183,2.5372245987256368,2.530199364821116,10.920697212219238,485330.35724427644,140.31186440677965,140.31186440677965
0,1200000000000.0,fixed,gpt_2l_36d,2,4,36,45936,4353883.6642284915,4354048,1200045293568.0,864,3,2126.0,2.5278504411379497,0.001663512586374004,2.5276392698287964,2.5214579741160073,9.805402676264444,444542.6202209008,94.78509230233368,94.78509230233368
0,1200000000000.0,fixed,gpt_2l_40d,2,4,40,54880,3644314.868804665,3645440,1200370483200.0,864,3,1780.0,2.521999764442444,0.0010124417279352683,2.521195824940999,2.5150524655977886,8.407976150512695,433653.9593732422,66.42565597667638,66.42565597667638
0,1200000000000.0,fixed,gpt_2l_44d,2,4,44,64592,3096358.682189745,3096576,1200084221952.0,994,3,1512.0,2.505694297949473,0.0021837453916293817,2.5052254597345986,2.499710297584534,4.7121414343516035,658457.2971543763,47.94054991330196,47.94054991330196
0,1200000000000.0,fixed,gpt_2l_48d,2,4,48,75072,2664109.1219096333,2664448,1200152641536.0,864,3,1301.0,2.508610971768697,0.0027909220756143077,2.5085737983385723,2.50191365480423,6.133392254511516,434794.0429972321,35.491901108269396,35.491901108269396
0,1200000000000.0,fixed,gpt_2l_52d,2,4,52,86320,2316960.1482854495,2318336,1200712581120.0,994,3,1132.0,2.4954468250274657,0.0018165710988029171,2.495243215560913,2.488873382409414,3.8932908376057944,607421.2754612775,26.857460611677478,26.857460611677478
