budget_id,budget_flops,model_name,n_layer,n_head,n_embd,dropout,bias,mlp_ratio,num_params,tokens_per_step,target_train_tokens,actual_train_tokens,target_d_over_n,actual_d_over_n,train_steps,unclipped_train_steps,actual_compute_proxy,schedule_regime,seed,fixed_schedule_horizon_steps,run_id
0,1200000000000.0,gpt_2l_28d,2,4,28,0.1,True,4.0,30352,2048,6589351.607801792,6590464,217.0977730562003,217.13442277279916,3218,3218,1200202579968.0,matched,2,994,b0__gpt_2l_28d__matched__seed2
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,fixed,0,994,b0__gpt_2l_32d__fixed__seed0
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,fixed,1,994,b0__gpt_2l_32d__fixed__seed1
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,fixed,2,994,b0__gpt_2l_32d__fixed__seed2
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,matched,0,994,b0__gpt_2l_32d__matched__seed0
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,matched,1,994,b0__gpt_2l_32d__matched__seed1
0,1200000000000.0,gpt_2l_32d,2,4,32,0.1,True,4.0,37760,2048,5296610.169491526,5298176,140.27039643780523,140.31186440677965,2587,2587,1200354754560.0,matched,2,994,b0__gpt_2l_32d__matched__seed2
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,fixed,0,994,b0__gpt_2l_36d__fixed__seed0
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,fixed,1,994,b0__gpt_2l_36d__fixed__seed1
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,fixed,2,994,b0__gpt_2l_36d__fixed__seed2
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,matched,0,994,b0__gpt_2l_36d__matched__seed0
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,matched,1,994,b0__gpt_2l_36d__matched__seed1
0,1200000000000.0,gpt_2l_36d,2,4,36,0.1,True,4.0,45936,2048,4353883.6642284915,4354048,94.78151480817858,94.78509230233368,2126,2126,1200045293568.0,matched,2,994,b0__gpt_2l_36d__matched__seed2
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,fixed,0,994,b0__gpt_2l_40d__fixed__seed0
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,fixed,1,994,b0__gpt_2l_40d__fixed__seed1
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,fixed,2,994,b0__gpt_2l_40d__fixed__seed2
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,matched,0,994,b0__gpt_2l_40d__matched__seed0
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,matched,1,994,b0__gpt_2l_40d__matched__seed1
0,1200000000000.0,gpt_2l_40d,2,4,40,0.1,True,4.0,54880,2048,3644314.868804665,3645440,66.4051543149538,66.42565597667638,1780,1780,1200370483200.0,matched,2,994,b0__gpt_2l_40d__matched__seed2
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,fixed,0,994,b0__gpt_2l_44d__fixed__seed0
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,fixed,1,994,b0__gpt_2l_44d__fixed__seed1
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,fixed,2,994,b0__gpt_2l_44d__fixed__seed2
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,matched,0,994,b0__gpt_2l_44d__matched__seed0
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,matched,1,994,b0__gpt_2l_44d__matched__seed1
0,1200000000000.0,gpt_2l_44d,2,4,44,0.1,True,4.0,64592,2048,3096358.682189745,3096576,47.937185443859065,47.94054991330196,1512,1512,1200084221952.0,matched,2,994,b0__gpt_2l_44d__matched__seed2
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,fixed,0,994,b0__gpt_2l_48d__fixed__seed0
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,fixed,1,994,b0__gpt_2l_48d__fixed__seed1
0,1200000000000.0,gpt_2l_48d,2,4,48,0.1,True,4.0,75072,2048,2664109.1219096333,2664448,35.48738706721059,35.491901108269396,1301,1301,1200152641536.0,fixed,2,994,b0__gpt_2l_48d__fixed__seed2
