actual_compute_proxy,actual_d_over_n,actual_train_tokens,approx_final_compute_proxy,best_step,best_val_loss,bias,budget_flops,budget_id,device,dropout,final_lr,final_test_loss,final_train_loss,final_val_loss,fixed_schedule_horizon_steps,mlp_ratio,model_name,n_embd,n_head,n_layer,num_params,run_id,runtime_sec,schedule_regime,seed,target_d_over_n,target_train_tokens,test_perplexity,tokens_per_second,tokens_per_step,train_steps,unclipped_train_steps,val_perplexity,token_parameter_ratio
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7600,2.5618974924087525,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5544308185577393,2.5736732482910156,2.5622333884239197,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__fixed__seed0,24.32968282699585,fixed,0,1233.0023231736573,15703517.587939698,12.863975637165272,645469.3269809093,2048,7668,7668,12.964740306303545,1233.0452261306532
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7600,2.5704388499259947,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.566860520839691,2.5885190963745117,2.570483613014221,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__fixed__seed1,25.91353726387024,fixed,1,1233.0023231736573,15703517.587939698,13.02486888059337,606017.7674738091,2048,7668,7668,13.072144771849679,1233.0452261306532
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7600,2.56666704416275,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.56029394865036,2.550509452819824,2.566812038421631,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__fixed__seed2,22.871482610702515,fixed,2,1233.0023231736573,15703517.587939698,12.93962034050393,686622.0379019687,2048,7668,7668,13.024237418762644,1233.0452261306532
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7650,2.482998490333557,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4768144607543947,2.4767956733703613,2.483810782432556,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__matched__seed0,22.593234062194824,matched,0,1233.0023231736573,15703517.587939698,11.903285575067347,695078.1794571655,2048,7668,7668,11.986856794654846,1233.0452261306532
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7450,2.486859476566315,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4803479433059694,2.511833906173706,2.48749897480011,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__matched__seed1,22.789539575576782,matched,1,1233.0023231736573,15703517.587939698,11.945420023783814,689090.885224808,2048,7668,7668,12.03114825590334,1233.0452261306532
1200041754624.0,1233.0452261306532,15704064,1200041754624.0,7350,2.485274302959442,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4796138286590574,2.4495937824249268,2.485307312011719,994,4.0,gpt_2l_16d,16,4,2,12736,b0__gpt_2l_16d__matched__seed2,23.281360864639282,matched,2,1233.0023231736573,15703517.587939698,11.936653934031968,674533.7650709241,2048,7668,7668,12.004808909994576,1233.0452261306532
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5450,2.5532350063323976,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.545655977725983,2.5817408561706543,2.553550148010254,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__fixed__seed0,16.052103519439697,fixed,0,628.4059603048523,11210762.331838565,12.751590102195411,698525.2734273038,2048,5475,5475,12.852651699759011,628.5201793721973
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5450,2.5462452292442324,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.539635384082794,2.4979872703552246,2.5469198346138002,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__fixed__seed1,16.56779384613037,fixed,1,628.4059603048523,11210762.331838565,12.6750486037185,676782.9262083013,2048,5475,5475,12.767716475744237,628.5201793721973
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5475,2.5611740946769714,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5555691838264467,2.5661182403564453,2.5611740946769714,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__fixed__seed2,15.287528276443481,fixed,2,628.4059603048523,11210762.331838565,12.878627878467132,733460.6220992428,2048,5475,5475,12.951014109287122,628.5201793721973
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5450,2.480543482303619,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4755117654800416,2.508401870727539,2.480820047855377,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__matched__seed0,16.61711096763611,matched,0,628.4059603048523,11210762.331838565,11.88778931684206,674774.3348310259,2048,5475,5475,11.951060842344909,628.5201793721973
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5450,2.476872169971466,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.472095859050751,2.4482102394104004,2.478115403652191,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__matched__seed1,16.95411777496338,matched,1,628.4059603048523,11210762.331838565,11.847251017820875,661361.4550064207,2048,5475,5475,11.91878114713843,628.5201793721973
1200218112000.0,628.5201793721973,11212800,1200218112000.0,5150,2.477788746356964,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4725186347961428,2.482391834259033,2.4779439210891723,994,4.0,gpt_2l_20d,20,4,2,17840,b0__gpt_2l_20d__matched__seed2,15.892640590667725,matched,2,628.4059603048523,11210762.331838565,11.852260807134865,705534.1078174409,2048,5475,5475,11.916737459232687,628.5201793721973
1200165617664.0,355.7570850202429,8435712,1200165617664.0,4100,2.551169228553772,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.547393536567688,2.6449713706970215,2.552595853805542,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__fixed__seed0,20.213326930999756,fixed,0,355.70799208131405,8434547.908232119,12.773766000708259,417334.16912496195,2048,4119,4119,12.84039233917549,355.7570850202429
1200165617664.0,355.7570850202429,8435712,1200165617664.0,4119,2.5604149103164673,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5548788189888,2.590169668197632,2.5604149103164673,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__fixed__seed1,19.161725282669067,fixed,1,355.70799208131405,8434547.908232119,12.869739994916841,440237.6025936312,2048,4119,4119,12.941185633207409,355.7570850202429
1200165617664.0,355.7570850202429,8435712,1200165617664.0,4050,2.5595683574676515,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.55479474067688,2.576946258544922,2.560176420211792,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__fixed__seed2,19.90221381187439,fixed,2,355.70799208131405,8434547.908232119,12.868657974391088,423857.97277320706,2048,4119,4119,12.938099656493202,355.7570850202429
1200165617664.0,355.7570850202429,8435712,1200165617664.0,3950,2.4764188170433044,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4721711397171022,2.551328659057617,2.477212369441986,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__matched__seed0,19.842772960662842,matched,0,355.70799208131405,8434547.908232119,11.848142920343015,425127.6783100484,2048,4119,4119,11.908022938265029,355.7570850202429
1200165617664.0,355.7570850202429,8435712,1200165617664.0,4000,2.478695261478424,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4725834131240845,2.4869234561920166,2.4791349530220033,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__matched__seed1,17.368433475494385,matched,1,355.70799208131405,8434547.908232119,11.853028601640233,485692.1616968039,2048,4119,4119,11.9309391297245,355.7570850202429
1200165617664.0,355.7570850202429,8435712,1200165617664.0,4100,2.479572057723999,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.474651610851288,2.5135715007781982,2.480171763896942,864,4.0,gpt_2l_24d,24,4,2,23712,b0__gpt_2l_24d__matched__seed2,19.572062969207764,matched,2,355.70799208131405,8434547.908232119,11.877568376260383,431007.8101256722,2048,4119,4119,11.9433156721206,355.7570850202429
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3218,2.542881953716278,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5356349110603333,2.569427013397217,2.542881953716278,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__fixed__seed0,15.14152979850769,fixed,0,217.0977730562003,6589351.607801792,12.62444370298019,435257.47316823556,2048,3218,3218,12.716265902830841,217.13442277279916
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3218,2.5426756620407103,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5350825786590576,2.569491147994995,2.5426756620407103,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__fixed__seed1,13.959877252578735,fixed,1,217.0977730562003,6589351.607801792,12.617472738996812,472100.4261540035,2048,3218,3218,12.713642913590508,217.13442277279916
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3218,2.5459656000137327,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5398940086364745,2.5650506019592285,2.5459656000137327,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__fixed__seed2,13.943237543106079,fixed,2,217.0977730562003,6589351.607801792,12.678327106438891,472663.82571661106,2048,3218,3218,12.755538889980109,217.13442277279916
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3200,2.4774216055870055,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.472432088851929,2.5158722400665283,2.478026282787323,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__matched__seed0,13.730713367462158,matched,0,217.0977730562003,6589351.607801792,11.851235086418866,479979.7230941769,2048,3218,3218,11.917718982385649,217.13442277279916
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3218,2.479709768295288,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4744829654693605,2.5168309211730957,2.479709768295288,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__matched__seed1,15.625214099884033,matched,1,217.0977730562003,6589351.607801792,11.87556544810224,421783.9165511923,2048,3218,3218,11.937799187204917,217.13442277279916
1200202579968.0,217.13442277279916,6590464,1200202579968.0,3218,2.4774128794670105,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4704442262649535,2.5020151138305664,2.4774128794670105,864,4.0,gpt_2l_28d,28,4,2,30352,b0__gpt_2l_28d__matched__seed2,14.695306777954102,matched,2,217.0977730562003,6589351.607801792,11.827699859729575,448474.0672366918,2048,3218,3218,11.910410855635057,217.13442277279916
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2587,2.5397813081741334,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.533294653892517,2.557986259460449,2.5397813081741334,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__fixed__seed0,10.63781452178955,fixed,0,140.27039643780523,5296610.169491526,12.594933801961616,498051.1729310272,2048,2587,2587,12.676898333625473,140.31186440677965
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2587,2.534934031963348,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5281269431114195,2.549410343170166,2.534934031963348,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__fixed__seed1,10.985254049301147,fixed,1,140.27039643780523,5296610.169491526,12.530014712777774,482298.90507967415,2048,2587,2587,12.615598594315676,140.31186440677965
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2587,2.5369584560394287,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5291764974594115,2.519580125808716,2.5369584560394287,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__fixed__seed2,11.139023065567017,fixed,2,140.27039643780523,5296610.169491526,12.543172547923668,475640.993722128,2048,2587,2587,12.641163784506306,140.31186440677965
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2550,2.480052876472473,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4739184021949767,2.49949312210083,2.4802000284194947,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__matched__seed0,10.10797667503357,matched,0,140.27039643780523,5296610.169491526,11.868862832191121,524157.91709198855,2048,2587,2587,11.94365324900647,140.31186440677965
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2587,2.4745565056800842,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.4709261417388917,2.4856667518615723,2.4745565056800842,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__matched__seed1,10.898977279663086,matched,1,140.27039643780523,5296610.169491526,11.833401184981165,486116.8038111352,2048,2587,2587,11.876438811801037,140.31186440677965
1200354754560.0,140.31186440677965,5298176,1200354754560.0,2587,2.477135252952576,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.471537971496582,2.459773540496826,2.477135252952576,864,4.0,gpt_2l_32d,32,4,2,37760,b0__gpt_2l_32d__matched__seed2,10.03447675704956,matched,2,140.27039643780523,5296610.169491526,11.840643427244569,527997.2367545574,2048,2587,2587,11.907104668747529,140.31186440677965
1200045293568.0,94.78509230233368,4354048,1200045293568.0,2100,2.527644228935242,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.521748983860016,2.507026433944702,2.5282777428627012,864,4.0,gpt_2l_36d,36,4,2,45936,b0__gpt_2l_36d__fixed__seed0,9.34801197052002,fixed,0,94.78151480817858,4353883.6642284915,12.45035309882586,465772.6170795424,2048,2126,2126,12.531904378356986,94.78509230233368
1200045293568.0,94.78509230233368,4354048,1200045293568.0,2126,2.5292586207389833,True,1200000000000.0,0,cuda,0.1,5.9999999999999995e-05,2.5233256459236144,2.4892077445983887,2.5292586207389833,864,4.0,gpt_2l_36d,36,4,2,45936,b0__gpt_2l_36d__fixed__seed1,10.057800054550171,fixed,1,94.78151480817858,4353883.6642284915,12.469998581308998,432902.6204920647,2048,2126,2126,12.544202676687735,94.78509230233368
